"nox"	"air_temp"
"455"	8.9065	1.5
"456"	42.60213	1.5
"457"	15.49841	1.5
"458"	28.42515	1.5
"459"	5.77116	1.5
"460"	11.20567	1.5
"461"	19.9105	1.5
"462"	30.60945	1.5
"463"	17.44095	1.5
"464"	32.87072	1.5
"465"	12.36203	1.5
"466"	5.52751	1.5
"467"	7.43204	1.5
"468"	3.79916	1.5
"469"	11.93721	1.5
"470"	11.95388	1.5
"471"	56.48005	1.5
"472"	25.83662	1.5
"473"	74.90976	1.5
"474"	25.07254	1.5
"475"	79.3837	1.5
"476"	93.76784	1.5
"477"	6.94316	1.5
"478"	53.54409	1.6
"479"	14.06541	1.6
"480"	8.16082	1.6
"481"	14.34668	1.6
"482"	5.10318	1.6
"483"	11.37814	1.6
"484"	35.95166	1.6
"485"	13.36074	1.6
"486"	14.44124	1.6
"487"	23.78088	1.6
"488"	13.052	1.6
"489"	43.03518	1.6
"490"	51.1249	1.6
"491"	12.82309	1.6
"492"	15.53998	1.6
"493"	17.10774	1.6
"494"	18.21434	1.6
"495"	28.84757	1.6
"496"	43.4252	1.7
"497"	15.95578	1.7
"498"	8.7515	1.7
"499"	13.68319	1.7
"500"	9.69656	1.7
"501"	46.72864	1.7
"502"	223.703	1.7
"503"	15.12024	1.7
"504"	27.12445	1.7
"505"	24.22576	1.7
"506"	36.08154	1.7
"507"	16.5745	1.7
"508"	15.86156	1.7
"509"	41.5705	1.7
"510"	3.12235	1.7
"511"	6.31806	1.7
"512"	7.15232	1.7
"513"	67.43344	1.7
"514"	26.55466	1.7
"515"	63.01866	1.7
"516"	10.31029	1.7
"517"	4.08923	1.8
"518"	15.47619	1.8
"519"	22.9183	1.8
"520"	14.3602	1.8
"521"	12.42617	1.8
"522"	12.37782	1.8
"523"	10.20189	1.8
"524"	63.37655	1.8
"525"	26.56751	1.8
"526"	6.10781	1.8
"527"	18.64267	1.8
"528"	34.08125	1.8
"529"	72.51538	1.8
"530"	6.45141	1.8
"531"	24.85417	1.8
"532"	107.49953	1.8
"533"	36.09473	1.8
"534"	9.58238	1.8
"535"	5.26548	1.8
"536"	16.28631	1.8
"537"	10.39237	1.8
"538"	7.5357	1.8
"539"	11.42669	1.8
"540"	8.2727	1.8
"541"	46.09073	1.8
"542"	48.70057	1.8
"543"	41.65606	1.9
"544"	70.60918	1.9
"545"	11.37715	1.9
"546"	17.28174	1.9
"547"	11.24962	1.9
"548"	11.7976	1.9
"549"	25.22913	1.9
"550"	17.52965	1.9
"551"	24.79332	1.9
"552"	6.2432	1.9
"553"	10.79639	1.9
"554"	18.4251	1.9
"555"	14.83443	1.9
"556"	32.86346	1.9
"557"	17.1303	1.9
"558"	4.99068	1.9
"559"	8.5481	1.9
"560"	37.36982	1.9
"561"	41.68549	1.9
"562"	33.93689	1.9
"563"	61.74516	1.9
"564"	22.06692	1.9
"565"	8.86553	1.9
"566"	49.76584	1.9
"567"	5.76473	2
"568"	31.34125	2
"569"	14.73183	2
"570"	4.24269	2
"571"	32.87857	2
"572"	8.57458	2
"573"	11.70789	2
"574"	23.24942	2
